CLASS_QNAME;OT_NOPA
org.apache.commons.io.filefilter.MagicNumberFileFilter;0.0
org.apache.commons.io.input.BoundedInputStream;0.0
org.apache.commons.io.output.NullWriter;1.0
org.apache.commons.io.monitor.FileAlterationObserver;0.0
org.apache.commons.io.filefilter.FileFilterUtils;0.0
org.apache.commons.io.comparator.ReverseComparator;0.0
org.apache.commons.io.input.BOMInputStream;0.0
org.apache.commons.io.input.TaggedInputStream;0.0
org.apache.commons.io.filefilter.AbstractFileFilter;0.0
org.apache.commons.io.ByteOrderMark;6.0
org.apache.commons.io.filefilter.FileFileFilter;1.0
org.apache.commons.io.input.DemuxInputStream;0.0
org.apache.commons.io.output.ProxyOutputStream;0.0
org.apache.commons.io.filefilter.HiddenFileFilter;2.0
org.apache.commons.io.input.BrokenInputStream;0.0
org.apache.commons.io.FileExistsException;0.0
org.apache.commons.io.filefilter.FalseFileFilter;2.0
org.apache.commons.io.filefilter.CanReadFileFilter;3.0
org.apache.commons.io.output.DemuxOutputStream;0.0
org.apache.commons.io.FilenameUtils;2.0
org.apache.commons.io.monitor.FileEntry;0.0
org.apache.commons.io.DirectoryWalker$CancelException;0.0
org.apache.commons.io.IOCase;3.0
org.apache.commons.io.FileDeleteStrategy;2.0
org.apache.commons.io.FileSystemUtils;0.0
org.apache.commons.io.output.AppendableOutputStream;0.0
org.apache.commons.io.comparator.PathFileComparator;6.0
org.apache.commons.io.filefilter.SizeFileFilter;0.0
org.apache.commons.io.input.ReversedLinesFileReader;0.0
org.apache.commons.io.monitor.FileAlterationListenerAdaptor;0.0
org.apache.commons.io.filefilter.OrFileFilter;0.0
org.apache.commons.io.input.MessageDigestCalculatingInputStream$MessageDigestMaintainingObserver;0.0
org.apache.commons.io.input.TailerListenerAdapter;0.0
org.apache.commons.io.filefilter.RegexFileFilter;0.0
org.apache.commons.io.output.CloseShieldOutputStream;0.0
org.apache.commons.io.output.ClosedOutputStream;1.0
org.apache.commons.io.input.ClosedInputStream;1.0
org.apache.commons.io.input.CountingInputStream;0.0
org.apache.commons.io.monitor.FileAlterationMonitor;0.0
org.apache.commons.io.ThreadMonitor;0.0
org.apache.commons.io.serialization.WildcardClassNameMatcher;0.0
org.apache.commons.io.FileCleaner;0.0
org.apache.commons.io.input.CharSequenceInputStream;0.0
org.apache.commons.io.filefilter.PrefixFileFilter;0.0
org.apache.commons.io.comparator.NameFileComparator;6.0
org.apache.commons.io.FileCleaningTracker$Reaper;0.0
org.apache.commons.io.FileDeleteStrategy$ForceFileDeleteStrategy;0.0
org.apache.commons.io.input.AutoCloseInputStream;0.0
org.apache.commons.io.input.ProxyInputStream;0.0
org.apache.commons.io.output.ThresholdingOutputStream;0.0
org.apache.commons.io.input.ClassLoaderObjectInputStream;0.0
org.apache.commons.io.filefilter.CanWriteFileFilter;2.0
